dialog_id,speakers,utterances,emotions
2,maya,indu ismein zahar faila hoga,neutral
2,indu,to tum kha lena,neutral
2,maya,kya tum sach mein chahte ho ki main mar jaaun? i'll rephrase the question. agar bhagwan tumhen option de ki tum apni jaan doge ya maya ki to tum kaun sa option chunoge?,neutral
2,indu,yeah do mein se ek ungali select karo nahin fir se fir se ab,neutral
2,maya,i have got my answer indravadan,sadness
2,indu,rosesh kahan the tum? kab se chilla rahi hoon!,neutral
2,rosesh,yeh aapka letter...,sadness
2,maya,letter?,surprise
2,rosesh,jo aapane dad ko likha tha mere paida hone se pahle!,sadness
2,indu,tere paida hone se pahle? aaye haye kya suhane din the kab lautenge ab pta nhi!,contempt
2,rosesh,bahut jald vah din wapas laut aaenge dad,sadness
2,maya,kyon aisa kah rahe ho kya hai is letter main?,neutral
2,rosesh,ismein saboot hai ki aap logon ki jindagi mein meri koi jarurat nahin thi! main aap logon ki anchahi aulad hun,sadness
2,maya,rosesh! this is supremely middle class!,contempt
2,rosesh,ok main aapka unwanted child hun,sadness
2,maya,"that's better. are rosesh, tumhen aisa kyon lagta hai beta?",neutral
3,sahil,rosesh chup ho jao. monisha pani lekar aao!,anger
3,monisha,kaunsa wala laun?,neutral
3,sahil,kaunsa wala matlab?,neutral
3,monisha,isme lahsun ka tadka gira tha aur ismein ballpen.,neutral
3,sahil,ball pen leak ho rahi thi?,neutral
3,monisha,nahi,neutral
3,sahil,to vah wala pani lekar aao,neutral
3,monisha,okay,neutral
3,sahil,hello mujhe batao tum ro kyon rahe ho?,anger
3,rosesh,"momma hai na momma, wo mujhe maarna chahti thi sahil bhai!",sadness
3,sahil,mom bhi?,neutral
3,rosesh,haan.,sadness
3,sahil,mom tumhe kyun marna chahti thi rosesh? tum mom ko bahut acche lagte ho. tum acting karte ho fir bhi!,neutral
3,rosesh,"mere paida hone se pahle momma ko pata thodi na tha, ki main paida hokar great actor banunga.",sadness
3,monisha,yah lijiye,neutral
3,rosesh,thank you. ismein se to ajeeb si smell a rahi hai bhabhi,disgust
3,sahil,pee le na! aisi acting kar jaise yah best quality wine ho. great actor hai ye!,contempt
3,monisha,sahil tum rosesh bhaiya ko tana kyon mar rhe ho?,neutral
3,rosesh,"tana hi to mar rahe hain bhabhi, mom ki tarah jaan se to nahin maar rahe...",sadness
3,monisha,mummy ji ne aapko marne ki koshish ki?,neutral
3,sahil,tum monisha ke kapde pahan ke khade the? haan to kyun?,neutral
3,rosesh,"mere paida hone se pahle sahil bhai, wo teesra bachcha nahin chahti thi. wo mujhe paida hone dena nahin chahti thi!",sadness
3,sahil,what nonsense rosesh?,anger
3,rosesh,aisa khat mein likha hai unhone,sadness
3,sahil,to mom ke pass us baat ka koi explanation hoga rosesh.,neutral
3,rosesh,lekin unhone aisa socha hi kyon?,sadness
3,sahil,rosesh unhone sirf esa socha hai kiya to nahin na?,anger
3,monisha,han rasesh bhaiya dekhiae na main apna purana kurta kitni bar fenk dene ka sochti hoon lekin fekti thodi hoon,neutral
3,sahil,monisha tumhare phate hue kurte mein aur rosesh mein thoda fark hai.,neutral
3,rosesh,koi fark nahin hai sahil bhai. main bhi phat chuka hun is purane kurte ki tarah!,sadness
3,monisha,aur donon ka colour bhi same hai. dekho. off white.,neutral
3,rosesh,see the coincidence!,sadness
3,sahil,are han! rosesh me sirf hook nahin hai...,anger
4,rosesh,momma aap mujhse dur hi rahe to behtar hoga,sadness
4,maya,batao phool khushbu se dur rah sakta hai?,neutral
4,rosesh,yah line seriously middle class nahin hai?,contempt
4,maya,han hai. lekin maine socha ki agar main thoda poetic language main tumse baat karun to... lekin batao na phool khushbu se dur ho sakta hai?,neutral
4,rosesh,"phool aur khushbu ek dusre se dur rah sakte hain momma, agar phool plastic ke ho to.",sadness
4,maya,nahin nahin please baby apne aap ko plastic ka phool mat kaho,sadness
4,rosesh,momma plastic ka phool maine aapko kaha hai. main to bloody fool hun! jo itne salon se soch raha tha ki kisi ko jarurat ho na ho lekin meri momma ko meri jarurat hogi,sadness
4,maya,han to hai na beta hai,neutral
4,rosesh,aap jhooth bol rahi hai momma. aap to mere paida hone ke pahle hi...,sadness
4,maya,rosesh baby wo to sirf ek khayal tha.,neutral
4,rosesh,matlab khyal tu aaya tha na mera khoon karne ka,sadness
4,maya,rosesh please don't exaggerate. uss waqt meri tabiyat bahut weak thi. dr. jhunjhunwala ne to kaha bhi tha ki teesra bachcha hone mein meri jaan ko khatra hai!,neutral
4,rosesh,matlab aapane apni jaan bachane ke liye meri jaan...,sadness
4,rosesh,"jo sawal apne dad se kiya vahi sawal main aapse karta hun momma, agar bhagwan aap se poochenge ki kisi ek ki jaan ko dena jaruri hai, to aap meri hi jaan dengi na?",sadness
4,maya,"no no i swear baby no! never! mein tumhari jaan kabhi na deti! main bhagwan ko samjhati ki bhagwan rosesh to aap hi ki den hai duniya ko, aap uski jaan mat lijiye. uske badle samne ke ghar ko dekhiye. vahan ek jaan hai jo sara din bhains ki tarah tv ke samne padi rahti hai!",contempt
4,rosesh,monisha bhabhi ki baat chhodiye. lekin use waqt to aapane apni hi jaan ki parvah ki thi na momma!,neutral
4,maya,"main na karti rosesh, lekin sahil aur sonia chote chote the aur bai kam chhod kar ke chali gai thi. main khud un donon ko school le jaya karti thi. aur jab hamari gadi kharab ho gai to maine taxi se safar kiya hai lekin uff tak nahin ki. fir part time nauker kam chod ke bhag gya! to maine unke kapde istri kiye hain. inn taklifo ke beech jab mujhe pata chala ki mujhe teesra bachcha hone wala hai, to main qubool karti hun ki ek second ke liye mere man mein yah vichar aaya, to kya maine gunah kiya?",sadness
4,rosesh,sorry main ab yahan nahin ruk sakta,sadness
4,maya,tu kahan jaaoge tum?,sadness
4,rosesh,wahin jahan kisi ko meri jarurat ho.,neutral
4,maya,tumhari kise jarurat hogi? i mean kisi na kisi ko to hogi jarurat magar kise?,neutral
4,rosesh,wo to waqt aane par aur ad aane per pata chal jayega momma.,sadness
4,maya,ad?,surprise
5,indravardhan,.hahaha. can you imagine sahil do ghante tak rosesh kismi ko apne drama ke dialogue sunata raha dhadak dhadak dhadak. hahaha,joy
5,monisha,vah to theek hai dadi ji zara ye sochiye agar kismi ka ghar kisi kabristan ke pass hota to?,neutral
5,sahil,to kya. rosesh ko dialogue bolane ki jarurat hi nahin padati. woh chupchap kismi ke samne baitha rahata vah aur apne aap kabristan ka feel aa jata,joy
5,indravardhan,hahaha. safed bhoot kahin ka. hahaha,joy
5,rosesh,sahil bhai dad?,neutral
5,indravardhan,ayy dekho dekho,neutral
5,rosesh,monisha bhabhi,neutral
5,indravardhan,dekho monisha gaur se dekho,neutral
5,rosesh,kya kya kya,neutral
5,sahil,ek minute ek minute. rosesh baith jao. baith ja aankhen badi kar ab dad ko gauro. dant nikal ke.aaa yah dekho hain same to same,joy
5,monisha,haan. same,neutral
5,rosesh,kya hua aap sab aise gore kyon rahe? mujhe sharm aa rahi hai,joy
5,indravardhan,oh ho bhoot sharma ra ha hai. hahaha,contempt
5,sahil,achcha yah bata to dauda dauda kyon aaya yahan?,neutral
5,rosesh,are haan. kismi aayi hai kya yahan?,neutral
5,monisha,kismi toh mummy ji ke sath gai hai na naukari ka interview dene?,neutral
5,rosesh,raste mein momma ko sarita aunty mil gai vah unhe hi hello kar ne lagi gi kismi gayab,neutral
5,indravardhan,gayab?,surprise
6,maya,this is the limit indu. are madhubhai is tarah se apni bhatiji ko hamare yahan kaise chhod sakte hain,contempt
6,indravardhan,isme kya harj kya hai maya,neutral
6,maya,indravardhan kunwari ladki hai vah. i mean hum responsibility kaise le sakte hain? hamare ghar mein ek handsome young kunwara ladka hai,neutral
6,indravardhan,chhat main kunwara kahan hun.,joy
6,maya,main rosesh ki baat kar rahi thi,anger
6,indravardhan,han rosesh kumara hai per vah handsome kahan hai,neutral
6,maya,oh cut it out indu in any case mujhe rosesh ki fikar nahin hai. vah aisi mani ben made in jaipur jaisi ladki ke samne aankh uthakar bhi nahin dekhega,contempt
6,indravardhan,naturally tum uski aankhen nahin noch logi,contempt
6,maya,well there's that but the point is the rosesh is not a problem. lekin vah ladki kal kuchh ulta sulta ho gaya to fir,neutral
6,indravardhan,"are don't worry maya, ya kismi is kasam ki ladki nahin hai",neutral
6,maya,tumhen kaise pata ho sakta hai ki vah pagal ho yah serial killer yah...,neutral
6,kismi,maasi kya sone ki tayari ho rahi hain?,joy
6,maya,kiss me please kisi ke kamre mein aane se pahle knock karna chahie,contempt
6,kismi,kal se knock kar ke aaungi na. kaise ho mausa,joy
6,indravardhan,ekadam maje mein. aaj mein jamke sounga bhai. daba ke khaya hai maya ke hathon ka bana hua mushroom masala. ,joy
6,maya,it was mushroom de paiza indravardhan. and please healthily khaya hai bolo daba ke khaya hai is wedding receptionistacally middle class. jahan log daba ke basundi pite hai yah cutlets khate hain. not to forget  trirangi dhokala and paan. lekin i am sure tum to definitely dinner discuss nahi karne aayi hogi ho,contempt
6,kismi,nai masi. isme discuss kya karna. main to non-veg khati hi nahin na,contempt
6,maya,excuse me kismi. yah jo mushroom hote hain na vah non-veg nahin hote,neutral
6,kismi,vo non-veg jaisa hi hota hai mausa aur mere jetpur mein haina usse billi ka top kehte hai. vah mareli sadeli gili lakadi per jab bhi nikal aata hai na mushroom kab hai na use,disgust
6,maya,excuse me kismi. mushroom koi bimari nahin hai jo nikal kar aaye and please get to the point. tum itni raat ko yahan kyon aayi o,neutral
6,kismi,haan. masi idhar aaju baju mein railway station kahan hai,neutral
6,maya,station? kyun?,surprise
6,kismi,vah kya hai na  ki jetpur mein mera ghar railway station ke laggo lag hai. tum mujhe hai na ki train aawar jaawar ki awaaz sunke hi sone ki aadat hai,neutral
6,indravardhan,ek minute ek minute kismi. iska matlab tum railway station per jakar sone ki soch rahi ho,neutral
6,kismi,na re sangi nahin per sun ke awoogi tu do ghadi aankh to lagegi na mausa,neutral
6,maya,itni raat ko tumhen koi station nahin le ja sakta haa. ek kam karo kudi thodi der chukh chukh bolo aur so jao. ok,neutral
6,kismi,hain?,surprise
6,indravardhan,madhubhai ki bhatiji. hain!,anger
7,sahil,yess?,neutral
7,kismi,hello good night,joy
7,sahil,haa good night kahane ke liye tum abhi aayi ho,neutral
7,kismi,han. tum monisha ko bhi bol deti hun. monisha,neutral
7,sahil,arre shhh,anger
7,kismi,monisha,neutral
7,sahil,ayy kismi main manisha ko good night bol dunga chalo aur suno agar kal raat bhi tum bhul gai na good night bolna to parson subah aana belated good night bolna chalao,neutral
7,monisha,kaun hai sahil? kismi raat ko ek baje,surprise
7,sahil,raat ke teen baje hi monisha,neutral
7,monisha,are han meri gadi to ek hafte se band hai,neutral
7,kismi,tum ek hafte se band ghadi pahan rahi ho,surprise
7,monisha,han vah gold-plated hai na aur fir hath par bandi hui acchi lagti hai mahangi wali aur vaise bhi kareeb se kaun dekhne aata hai ki band hai ya chalu,neutral
7,kismi,high class hai haan monisha. per man lo ke kisi ne poochha bahan time kya hua hai toh,neutral
7,monisha,to main foran chuke kaise deti ho. are meri galti to band ho gai,neutral
7,kismi,solid high class idea hi monisha. hahaha. ay lekin monisha socho ke kisi sim aadami ne 2-3 bar time poochh liya to,neutral
7,monisha,yah to maine socha hi nahin kab to use shak ho sakta hai na kismi,fear
7,sahil,ooo chokriyo. chalo yah band gadi vasul vasul kal subah kheloge to chalega,neutral
7,kismi,sorry sahil bhai actually mujhe thodi madad chahie thi,neutral
7,sahil,kaisi,neutral
7,kismi,vah mujhe railgadi ki awaaz suni thi,neutral
7,sahil,alka yagnik ya udit narayan ki awaz nahin chalegi na,contempt
7,kismi,bus bus sahil bhai meri firki khinch rahe ho na,sadness
7,sahil,nahin nahin kya hai na kar meri cd ke collection mein train ki awaaz wali sidhi nahin hai,contempt
7,kismi,to ab mujhe nind kaise aaegi,sadness
7,sahil,ek kam karo abbi please sone ki ki koshish karo agar neend nahi aaye na to man mein main vah bed bakriyan 1 2 3 4 chalo chalo chalo good night,neutral
7,monisha,good night,joy
8,maya,gayab as in thin air. sarita aur main puri building chan mari,neutral
8,indravardhan,kaun si?,neutral
8,maya,embassy embassy towers uske aas paas ki sari sadke bhi dekhni hum logon ne,neutral
8,monisha,lekin aapane use naam lekar pukara? use awaaz di?,neutral
8,maya,nahin,anger
8,indravardhan,common maya awaaz to lagani chahie thi na,anger
8,maya,uska naam kismi hai indu,neutral
8,indravardhan,toh?,neutral
8,maya,sarita aur main har jagah kismi kismi kahate hue khoon se to kaisa lagta?,neutral
8,rosesh,koi badmash aakar ke momma ko kiss kar leta to,fear
8,maya,right toh. i mean monisha hoti to alag baat thi. usse kis karne kaun aata. lekin main to abhi 35 ki lagti hun na,neutral
8,rosesh,bhale hi aap ho 51 ki,neutral
8,maya,yah kahana jaruri tha?,anger
8,sahil,excuse me guys! kismi ke bare mein soche oh my god sahil,neutral
8,indravardhan,oh my god sahil 6 bajane wale hain aur tum to jante ho embassy towers ke piche 6 baje ke bad kya hota hai,fear
8,sahil,kya hota hai?,neutral
8,indravardhan,up come on ab acting mat karo jaise tumhen kuchh pata hi nahin hai,anger
8,sahil,vakya mein mujhe kuchh pata nahin hai kuchh,fear
8,indravardhan,aaaa hahaha. monisha yahan per baithi hai isiliye nirdosh banne ki koshish kar rahe ho.,contempt
8,maya,indravardhan embassy towers ke piche kya hota hai 6 baje ke bad bako!,anger
8,indravardhan,kuchh nahin maiya ho gunday mavali wahan chori ka mal bhejte hain. yah imported ghatiya vagaira 400 500rs mein mil jaati hai,neutral
8,sahil,right!,neutral
8,monisha,are vah. sahil chalo chalo wahan chalte hain vaise bhi meri gadi band ho gai hai chalo na,joy
8,sahil,monisha,anger
8,monisha,aur kism bhi toh kho gai hai. haina,neutral
8,madhu,hello everybody,joy
8,sahil,oh my goodness madhusudan fufa. koi nahin bataega kismi kho gai hai,fear
8,maya,hello madhu bhai aap cold coffee piyenge yah french champagne?,joy
8,madhu,hain?,neutral
8,indravardhan,maya. french champagne ghar mein hai?,neutral
8,maya,bolane mein kya jata hai unhen sunai thodi de raha hai,neutral
9,maya,yess?,neutral
9,kismi,namaste,neutral
9,maya,aap kon?,neutral
9,kismi,kismi,neutral
9,maya,excuse me,surprise
9,kismi,mera naam hai. woh chocolate aati thi na meethi meethi godi godi. use pese rakha.,joy
9,madhu,hi maya,joy
9,maya,madhubhai aaye aaye. bahut dino baad.,neutral
9,madhu,"maya ya mere bhai moti lal ji ki chhoti beti, kismi.",neutral
9,maya,iska naam sachmuch kismi hai,contempt
9,madhu,nahin nahin iska naam kismi hai,neutral
9,naisha,dids ne abhi vahi tu kaha mr,neutral
9,madhu,henh?,neutral
9,naisha,dids ne abhi wahi kaha,neutral
9,madhu,maya ya sahil ne ladki ke kapde kyon pahne hain?,neutral
9,monisha,nahin nahin madhupushpa yah sahil nahin hai yah mummy ji ki bahan hai naisha mausi,neutral
9,madhu,han han jarur launga. lekin yah sahil ne ladki ke kapde kyon pahne hai?,neutral
9,maya,madhu bhai aap baithie na. inne kuchh bhi nahin sunai deta. baithiye madhu bhai,neutral
9,madhu,trivennum!,neutral
9,naisha,what?,surprise
9,maya,madhubhai baithi aap please,anger
9,monisha,kisme aao na tum bhi baitho,joy
9,kismi,madhu kaka high class  hai inka ghar,neutral
9,madhu,haan! are maiya bade jatan se rakhti hai apne ghar ko,neutral
9,kismi,han vah to dikhi raha hai,neutral
9,madhu,dikhta hai na toh!,joy
9,maya,mamma mia ji kitna easily communicate kar rahi hai madhu bai ke sath,surprise
9,madhu,hain?,neutral
9,maya,madhubhai yahan kaise aana hua,neutral
9,madhu,nahin nahin khichdi aur kadhi banakar gai hai ila,neutral
9,kismi,kaka ye poochh rahi hai yahan kaise aana hua?,neutral
9,madhu,ooo! maiya meri bhatiji jaidpur se mumbai ayi hai. kaam kaaj dhundhne ke liye,neutral
9,maya,achha kis tarah ka kaam kaaj?,neutral
9,madhu,aaj? aaj to kitchen repair karenge vah log. lekin yah sahil ne ladki ke kapde kyon pahne hai?,neutral
9,kismi,kaka yah sahil bhai nahi hai. yah inki bahan hai,neutral
9,madhu,oo maiya ye tumhari bahan hai ?,surprise
9,maya,naisha,neutral
9,madhu,lekin kisme ne to kaha ki tumhari bahan hai,neutral
9,maya,madhubhai yah. over to kisme,anger
9,kismi,kaka inka naam hai naisha,neutral
9,madhu,ooo naisha,neutral
9,monisha,are vah mummy ji yah ladki to champion hai,joy
9,kismi,main kaka ke yahan rahane aayi hoon per ke yahan repair chal rahi hai na. to vah mujhe yahan chhodake jale hain,neutral
9,maya,what?,surprise
9,kismi,haan.zyada nai en do mahine ke liye,neutral
9,maya,ek do mahine. madhubhai that's not possible hah.,fear
9,madhu,thank you maya,joy
9,maya,oh my god madhubhai over to kismi. samjhao please,neutral
9,kismi,kaka yah kah rahi hai main yahan nahin rah sakti,sadness
9,madhu,achcha kyon?,surprise
9,kismi,achcha kyon ?,neutral
9,maya,main sun sakti hun thank you,contempt
9,madhu,han batao na kyon,neutral
9,maya,kyunki ki naisha yahan hai na,joy
9,naisha,dids main to aaj hi ja rahi hun sham ko. punjab mujhe yad a raha hai vahan hare hare kheton mein main aur jugalkishor duet gaaye gay. tujhe dekha to yeh jaana sanam,joy
9,maya,naisha band karo apna ye punjab tourism. now enough naisha,anger
9,naisha,tujhe dekha to ye jana sanam,sadness
9,maya,bass,anger
9,naisha,alright!,anger
9,madhu,lekin kisme yahan kyon nahin rah sakti maya,neutral
9,maya,vahi main sochne ki koshish kar rahi hun madhu bhai.,neutral
9,madhu,hain?,neutral
9,indravardhan,hi everybody! hi naisha! ,joy
9,naisha,jiju,joy
9,indravardhan,oh my god hain hain kumar,fear
9,madhu,ayyy indu? yah meri bhatiji yahan rah sakti hai kuchh dinon ke liye.,neutral
9,maya,sir kya hila rahe ho,anger
9,indravardhan,are kuchh bolunga to fir yah hain hain karenge,anger
9,maya,arre per yun bhi to kar sakte ho na main,anger
9,indravardhan,aisa karta to fir vah kahate kyon nahin rah sakti fir main jawab deta to vah fir se kahate hain hain. isliye maine,contempt
9,kismi,kaka masa ne haan kaha,joy
9,madhu,hash,joy
10,monisha,rosesh bhaiya! chai pi lijiye,neutral
10,rosesh,kahan hogi vah is waqt,neutral
10,monisha,are vahi table per hi to padhi hui hai,neutral
10,rosesh,mai kismi ki baat kar raha hun bhabhi,neutral
10,monisha,umm. sab gaye hain na kismi ko dhundhne ke liye. chaliye aap chai aur kormore kha lijiye chaliye. are han usmein kuchh jale hue kormore bhi hai. unhen side mein kar lijiyega han,neutral
10,rosesh,mujhe nahin khane ja,disgust
10,monisha,sare ke sare nahin chale hue hain dekhi na kuchh yellow wali bhi hai. main chunke dun,neutral
10,rosesh,vah baat nahin hai bhabhi mein bus pahunch raha hun ke kismi ko bhi to bhookh lagi hogi,neutral
10,monisha,to vahan per jethalal pani puri wala hai na saade pani ki pani puri ke 18 rupaye per plate. aur mineral water ke pani puri ke 30 rupaye per plate. aur pata hai hai jethalal se jyada zidd karo na to do pani puri free mein bhi deta hai,joy
10,rosesh,lekin kismi ke pass paise nahin honge toh? ,neutral
10,monisha,to vah free wali pani puri pahle mang legi aur kahegi ki actual plate bad mein khaungi,joy
10,rosesh,vah gaon ki bholi ladki hai bhabhi vah kya kisi se free mein pani puri mangi thodi si madad mangne mein tu itni hich kicha rahi thi raat ko,neutral
10,monisha,raat ko?,surprise
10,rosesh,han kal raat ko mere kamre mein aayi thi,joy
11,maya,"indu tum rosesh ko mai chai banati hun. are tum yahan kyon so rahe ho rosesh, rosesh sweety",surprise
11,rosesh,sony dijiye na momma raat bhar nahin hua,sadness
11,maya,kyun ,surprise
11,rosesh,kismi ne sone hi nahin diya,neutral
11,maya,kya kar rahe the tum dono raat bhar? kahan hai kismi?,anger
11,rosesh,vah mere bedroom mein hai bichari,neutral
11,maya,vah bichari nahin hai tum idiot ho. come on wake up. kismi! kis,anger
11,kismi,good morning masi,joy
11,maya,i demand an explanation kismi tum rosesh ke kamre mein kya kar rahi thi?,anger
11,kismi,main vahan so rahi thi masi thik thak nind a gai. rosesh ki madad se,joy
11,maya,rosesh,neutral
11,rosesh,mama isko train ki awaaz unke sone ki aadat hai na,neutral
11,maya,haan toh,neutral
11,rosesh,"koi yad hai use hindi natak mein, ay musafir tera order de veg ya non veg. jis natak mein mein train ka second class dibba vah banaa tha",neutral
11,maya,han yad hai badi cute lag rahe the tum first class dibba hote to aur bhi achha hota but so?,neutral
11,rosesh,usmein mera dialogue tha na dhadak dhadak dhadak dhadak dhadak ooooooo f,neutral
11,kismi,train ki awaaz sunte hi aankhen jhokha khane lagi thi masi,joy
11,madhu,maya,neutral
11,kismi,kaka kaka mujhe yahan chodne ke liye bahut bahut thank you. yah log bahut acche hain,joy
11,rosesh,don't be silly,joy
11,rosesh,rosesh,anger
12,rosesh,hahaha. pure 10 minut tak main vah dialogue bolata raha tab jake sooyi,joy
12,monisha,aila,joy
12,rosesh,aur woh jara bhi ooo aaa karti thi to main turant shuru ho jata tha. dha dha,joy
12,monisha,shukr hai aapko aapki yah wale dialogue to yad the,neutral
12,rosesh,mujhe to interval ke bad wale dialogue bhi yad the,neutral
12,maya,hello everybody dekho mujhe kaun mila,anger
12,rosesh,kismi!,surprise
12,monisha,kismi! kahan chali gai thi tum pata hai sab kitna pareshan the,anger
12,kismi,woh main,sadness
12,maya,batao batao kahan chali gai thi tum,anger
12,kismi,hua main thoda sa shopping karni chali gai thi novelty store mein 40 taka discount chal raha thana vahan,sadness
12,maya,isiliye bagair kuch kahen bagair kuch soche samjhe madam shopping karne nikal padi,anger
12,monisha,akele akele,sadness
12,rosesh,very bad kismi. agar tumhen kuchh ho jata to main toh sara dosh tum per hi dalta ki tumne hi laparvahi bharti hai,anger
12,maya,i mean shopping ke bagair nahin rah sakti ki tum,anger
12,kismi,"masi per actually main apne liye nahin aap sab ke liye shopping karne gayi thi. haan yah dekhiae aapke liye talcum powder, phir body spray sahil bhai ke liye fir ya rumal masa ke liye aur yah monisha ke liye",joy
